Time(s)	Acc.(g)			
10.3	5.46E-02			
10.31	7.40E-02			
10.32	1.21E-01			
10.33	1.74E-01			
10.34	1.63E-01			
10.35	6.91E-02			
10.36	-2.65E-02			
10.37	-4.08E-02			
10.38	2.45E-03			
10.39	2.06E-02			
10.4	-4.70E-03			
10.41	-1.95E-02			
10.42	1.04E-03			
10.43	2.05E-02			
10.44	1.59E-02			
10.45	1.87E-02			
10.46	5.37E-02			
10.47	8.98E-02			
10.48	8.24E-02			
10.49	3.30E-02			
10.5	-2.19E-02			
10.51	-5.48E-02			
10.52	-5.92E-02			
10.53	-4.10E-02			
10.54	-1.82E-02			
10.55	-1.06E-02			
10.56	-1.69E-02			
10.57	-1.67E-02			
10.58	-3.78E-03			
10.59	6.66E-03			
10.6	8.49E-03			
10.61	1.67E-02			
10.62	3.79E-02			
10.63	5.57E-02			
10.64	5.87E-02			
10.65	6.14E-02			
10.66	7.58E-02			
10.67	8.82E-02			
10.68	8.26E-02			
10.69	6.78E-02			
10.7	5.94E-02			
10.71	5.18E-02			
10.72	3.19E-02			
10.73	8.49E-03			
10.74	1.34E-03			
10.75	8.79E-03			
10.76	7.45E-03			
10.77	-1.45E-02			
10.78	-4.23E-02			
10.79	-5.44E-02			
10.8	-4.50E-02			
10.81	-2.53E-02			
10.82	-8.98E-03			
10.83	2.26E-03			
10.84	1.80E-02			
10.85	4.18E-02			
10.86	5.69E-02			
10.87	4.38E-02			
10.88	1.04E-02			
10.89	-1.15E-02			
10.9	-6.47E-03			
10.91	6.60E-03			
10.92	5.37E-03			
10.93	-6.23E-03			
10.94	-1.34E-02			
10.95	-1.73E-02			
10.96	-2.78E-02			
10.97	-4.13E-02			
10.98	-4.54E-02			
10.99	-3.99E-02			
11	-3.50E-02			
11.01	-3.25E-02			
11.02	-2.68E-02			
11.03	-1.83E-02			
11.04	-1.04E-02			
11.05	6.12E-04			
11.06	2.00E-02			
11.07	4.09E-02			
11.08	5.37E-02			
11.09	6.49E-02			
11.1	8.62E-02			
11.11	1.11E-01			
11.12	1.17E-01			
11.13	9.97E-02			
11.14	7.39E-02			
